Brand;Brand-href;car_details;car_details-href;car_name;start_price;variant;color
Mercedes-Benz;https://www.carwale.com/mercedesbenz-cars/;Mercedes-Benz CLA;https://www.carwale.com/mercedesbenz-cars/cla/;Mercedes-Benz CLA;? 32.69 Lakhs;"[{'variant':'200 CDI Style'},{'variant':'200 Petrol Sport'},{'variant':'200 CDI Sport'},{'variant':'45 AMG 4MATIC'}]";"[{'color':'Cirrus White'},{'color':'Jupiter Red'},{'color':'Cavansite Blue'},{'color':'Polar Silver'},{'color':'Mountain Grey'}]"
Ferrari;https://www.carwale.com/ferrari-cars/;Ferrari California;https://www.carwale.com/ferrari-cars/california/;Ferrari California;? 3.37 Crores;"[{'variant':'T'}]";"[{'color':'Nero Pastello'},{'color':'Blu Pozzi'},{'color':'Blu Tour De France'},{'color':'Rosso Mugello'},{'color':'Rosso California'},{'color':'Grigio Ingrid'},{'color':'Grigio Alloy'},{'color':'Rosso Corsa'},{'color':'Rosso Scuderia'},{'color':'Rosso Dino'},{'color':'Bianco Avus'},{'color':'Giallo Modena'}]"
Mercedes-Benz;https://www.carwale.com/mercedesbenz-cars/;Mercedes-Benz GLS;https://www.carwale.com/mercedesbenz-cars/gls/;Mercedes-Benz GLS;? 83.83 Lakhs;"[{'variant':'350 d'},{'variant':'400 4MATIC'},{'variant':'63 AMG'}]";"[{'color':'Obsidian Black'},{'color':'Cavansite Blue'},{'color':'Citrine Brown'},{'color':'Iridium Silver'},{'color':'Selenite Grey'}]"
Bugatti;https://www.carwale.com/bugatti-cars/;Bugatti Veyron;https://www.carwale.com/bugatti-cars/veyron/;Bugatti Veyron;? 12.18 Crores;"[{'variant':'16.4 Grand Sport'}]";"[{'color':'Titanium Grey Metallic'},{'color':'Italian Red'},{'color':'White Silver'},{'color':'Black Carbon'}]"
Tata;https://www.carwale.com/tata-cars/;Tata Safari Storme;https://www.carwale.com/tata-cars/safari-storme/;Tata Safari Storme;? 10.8 Lakhs;"[{'variant':'2.2 LX 4x2'},{'variant':'2.2 EX 4X2'},{'variant':'2.2 VX 4x2 Varicor400'},{'variant':'2.2 VX 4x4 Varicor400'}]";"[{'color':'Urban Bronze'},{'color':'Astern Black'},{'color':'Pearl White'},{'color':'Arctic White'},{'color':'Arctic Silver'}]"
Honda;https://www.carwale.com/honda-cars/;Honda CR-V;https://www.carwale.com/honda-cars/crv/;Honda CR-V;? 23.14 Lakhs;"[{'variant':'Honda CR-V 2.0L 2WD MT'},{'variant':'Honda CR-V 2.0L 2WD AT'},{'variant':'Honda CR-V 2.4L 4WD AVN'}]";"[{'color':'Carnelian Red Pearl'},{'color':'Golden Brown Metallic'},{'color':'Urban Titanium Metallic'},{'color':'Alabaster Silver Metallic'},{'color':'White Orchid Pearl'}]"
Toyota;https://www.carwale.com/toyota-cars/;Toyota Prius;https://www.carwale.com/toyota-cars/prius/;Toyota Prius;? 42.16 Lakhs;"[{'variant':'1.8 Z8'}]";"[{'color':'Emotional Red'},{'color':'Super White'},{'color':'White Pearl Crystal Shine'},{'color':'Silver Metallic'},{'color':'Grey Metallic'},{'color':'Attitude Black Mica'},{'color':'Dark Blue Mica Metallic'}]"
Maserati;https://www.carwale.com/maserati-cars/;Maserati GranCabrio;https://www.carwale.com/maserati-cars/grancabrio/;Maserati GranCabrio;? 2.13 Crores;"[{'variant':'4.7 V8'}]";"[{'color':'Bianco Eldorado'},{'color':'Nero'},{'color':'Grigio Touring'},{'color':'Grigio Alfieri'},{'color':'Grigio Granito'},{'color':'Nero Carbonio'},{'color':'Blu Oceano'},{'color':'Blu Nettuno'},{'color':'Blu Sofisticato'},{'color':'Rosso Trionfale'},{'color':'Bordeaux Pontevecchio'},{'color':'Bianco Fugi'},{'color':'Ble Mediterraneo'},{'color':'Giallo Granturismo'},{'color':'Rosso Mondiale'},{'color':'Bianco Birdcage'},{'color':'Grigio Lava'}]"
BMW;https://www.carwale.com/bmw-cars/;BMW X5;https://www.carwale.com/bmw-cars/x5/;BMW X5;? 68.89 Lakhs;"[{'variant':'xDrive 30d Expedition'},{'variant':'xDrive30d Pure Experience (5 Seater)'},{'variant':'xDrive35i Pure Experience (5 seater)'},{'variant':'xDrive30d Pure Experience (7 Seater)'},{'variant':'xDrive 30d M Sport'},{'variant':'M'}]";"[{'color':'Alpine White'},{'color':'Black Sapphire'},{'color':'Impherial Blue Brilliant Effect'},{'color':'Sparkling Brown'},{'color':'Space Grey'},{'color':'Carbon Black'},{'color':'Long Beach Blue'},{'color':'Donington Grey'},{'color':'Silver Stone'},{'color':'Melbourne Red'},{'color':'Mineral White'}]"
Mahindra;https://www.carwale.com/mahindra-cars/;Mahindra Bolero;https://www.carwale.com/mahindra-cars/bolero/;Mahindra Bolero;? 6.92 Lakhs;"[{'variant':'EX BS IV'},{'variant':'Power Plus SLE'},{'variant':'EX AC BS IV'},{'variant':'Plus BS IV'},{'variant':'Power Plus SLX'},{'variant':'SLE BS IV'},{'variant':'Plus AC BS IV'},{'variant':'Power Plus ZLX'},{'variant':'SLX BS IV'},{'variant':'ZLX BS IV'}]";"[{'color':'Diamond White'},{'color':'Rocky Beige'},{'color':'Mist Silver'},{'color':'Java Brown'},{'color':'Fiery Black'},{'color':'Toreador Red'}]"
Audi;https://www.carwale.com/audi-cars/;Audi RS6;https://www.carwale.com/audi-cars/rs6/;Audi RS6;? 1.45 Crores;"[{'variant':'Avant'}]";"[{'color':'Glacier White'},{'color':'Daytona Grey'},{'color':'Prisma Silver'},{'color':'Floret Silver'},{'color':'Misano Red'},{'color':'Panther Black'},{'color':'Sepang Blue'},{'color':'Mythos Black'}]"
