Brand ID,Brand ,model id,Model,Car Type,start_year,end_year,car color,car variant
14,Renault,,Lodgy,12,,,Royal Orchid|Planet Grey|Pearl White|Moonlight Silver|Slate Grey|Fiery Red,85 PS STD 8 STR|85 PS RxE 7 STR|85 PS RxE 8 STR|85 PS World Edition 8 STR|85 PS RXL Stepway 8 STR|110 PS RXL Stepway 8 STR|110 PS World Edition 8 STR|85 PS RXZ Stepway 8 STR|110 PS RXZ Stepway 8 STR|110 PS RXZ Stepway 7 STR
#N/A,Maserati,,GranTurismo,4,,,Nero|Bianco Eldorado|Grigio Touring|Grigio Alfieri|Grigio Granito|Nero Carbonio|Blu Oceano|Blu Nettuno|Blu Sofisticato|Rosso Trionfale|Bordeaux Pontevecchio|Bianco Fugi|Ble Mediterraneo|Giallo Granturismo|Rosso Mondiale|Bianco Birdcage|Grigio Lava,4.2 V8
8,Mercedes-Benz,,S-Class Cabriolet,4,,,Selenite grey metallic|Magnetite black metallic|Iridium silver metallic|Cavansite blue metallic|Ruby black metallic|Emerald green metallic|Anthracite blue metallic|Designo diamond white bright|Designo mocha black metallic,S 500 Cabriolet
8,Mercedes-Benz,,G-Class,4,,,Obsidian Black|Periclase Green|Polar White|Indium Grey|Citrine Brown|Magnetite Black|Iridium Silver|Diamond Silver,G 63 AMG|G 63 Edition 463|G 63  AMG Crazy Colour Edition
4,Volkswagen,,Beetle,4,,,Oryx white|Tornado Red|Habanero orange|Blue Silk,1.4 TSI
12,Mahindra,,e2o Plus,6,,,Coral Blue|Wine Red|Arctic Silver|Solid White,P4|P6|P8
2,Maruti Suzuki,,S-Cross,12,,,Urban Blue|Caffeine Brown|Granite Grey|Premium Silky Silver|Pearl Arctic White,Sigma 1.3|Delta 1.3|Zeta 1.3|Alpha 1.3|Alpha 1.6
9,Audi,,A6,4,,,Ibis White|Mysthos Black Metallic|Dakota Grey Metallic|Garnet Red|Floret Silver Metallic|Moonlight Blue Metallic,35 TFSI Matrix|35 TDI Matrix
33,Rolls Royce,,Dawn,4,,,Stone Grey|Ensine Red|Emerald Green|Black Kirsch|Jubilee Silver|Anthracite|Smokey Quartz,Convertible
5,Tata,,Indica V2,5,,,Mint White|Jet Silver,LS|LX
6,Ford,,Mustang,4,,,Absolute Black|Ingot Silver|Oxford White|Race Red|Triple Yellow Tricoat|Magnetic,GT Fastback 5.0L v8
#N/A,Jeep,,Wrangler,4,,,Black|Bright White|Billet Silver Metallic|Granite Crystal|Firecracker Red|Rhino,Unlimited 4x4 Petrol|Unlimited 4x4 Diesel
9,Audi,,A3 Cabriolet,4,,,Brilliant Black|Amalfi White|Brilliant Red|Phantom Black|Beluga Brown Metallic|Ice Silver|Daytona Grey|Scuba Blue Metallic|Dakota Grey|Monsoon Grey|Lotus Grey|Glacier White Metallic|Shiraz Red|Misano Red Pearl,40 TFSI|1.4 TFSI
21,Isuzu,,D-Max V-Cross,12,,,Splash White|Cosmic Black|Obsidian Grey|Titanium Silver|Orchid Brown,4x4
9,Audi,,A3,4,,,Glacier White Metallic|Cosmos Blue|Florett Silver Metallic|Tango Red|Brilliant Black,35 TFSI Premium Plus|35 TDI Premium Plus|35 TFSI Technology|35 TDI Technology
33,Rolls Royce,,Phantom Coupe,4,,,Black|Diamond Black|Anthracite|Jubliee Silver|Silver|Midnight Blue|Darkest Tungsten|Blue Velvet|Metropolitan Blue|Woodland Green|New Sable|Madeira Red|Ensign Red|Cornish White|English white|Arctic White,6.8 L
12,Mahindra,,Scorpio Getaway,12,,,Fiery Black|Rocky Beige|Mist Silver,2WD BS IV|4WD BS IV
12,Mahindra,,Verito Vibe CS,6,,,Aqua Rush|Toreador Red|Dolphin Grey|Diamond White|Java Brown|Fiery Black|Mist Silver,1.5 D2|1.5 D4|1.5 D6
17,Honda,,WR-V,12,,,Premium Amber Metallic|Modern Steel Metallic|Alabaster Silver Metallic|Carnelian Red Pearl|Golden Brown Metallic|White Orchid Pearl,Honda WR-V S MT Petrol|Honda WR-V S MT Diesel|Honda WR-V VX MT Petrol|Honda WR-V VX MT Diesel
5,Tata,,Safari,12,,,Arctic Silver|Pearl White|Cycus Grey|Arctic White|Quartz Black,4x2 LX DICOR BS IV|4x2 EX DICOR BS IV
#N/A,DC,,Avanti,4,,,Red|White|Silver,Standard
2,Maruti Suzuki,,Dzire,8,,,Oxford Blue|Gallant Red|Sherwood Brown|Magma Grey|Silky Silver|Pearl Arctic White,LXI|VXI|VXI AMT|LDI|ZXI|VDI|ZXI AMT|VDI AMT|ZXI Plus|ZDI|ZXI Plus AMT|ZDI AMT|ZDI Plus|ZDI Plus AMT
